slno,type,targetdate,task_description,counterparty,opportunity_in_task,task_done,discussion_points,followup_notes,followup_date,primarycontact,delegated_person,counterparty_contact,opp_status
1,1 - Meeting / telecon,29-01-2020,Organise the call with Capital Fortunes,Canara bank,Fund Raise - Penna Cement,0,Discuss mandate and the way forward,,,,,,
2,1 - Meeting / telecon,23-06-2020,Call with Tektide,Canara bank, AAA_MISC,1,Discuss on the underlying opportunity,,,Ramesh Mahay,,,
3,8 - Research,31-01-2020,Research on the NCLT transactions and the various deals done.,Canara bank,AA_Others/Prelim reseach,0,,,,,,,
4,2 - New Opportunity,13-02-2020,Discuss on the info request and the way forward,Canara bank,Fund Raise - Action Ispat and Power Private Limited and Vizag Profiles,0,,,Nov/10/2020,Krishna Chaitanya,Vishwanath Ananthakrishnan,,
5,1 - Meeting / telecon,09-11-2020,discuss with Vishwanath on way forward,Canara bank,Fund Raise - Action Ispat and Power Private Limited and Vizag Profiles,0,,,,Krishna Chaitanya,Vibhu Agarwal,,
6,8 - Research,09-11-2020,research on the blog,Canara bank,AA_Others/Prelim reseach,0,,,,Krishna Chaitanya,,,
7,4 - Others,04-07-2020,Get Updates on the Iron Ore Transaction,Canara bank,Intermediation - Iron Ore in South Maharashtra for Sale,0,,,,Krishna Chaitanya,Ramesh Mahay,,
8,4 - Others,04-07-2020,Research and write on Smart metering and Infrastrucgture Privatisation,Canara bank,AA_Others/Prelim reseach,0,,,,,,,
9,4 - Others,04-07-2020,Revert to Jaydeep Thaker,Canara bank,AAA_Misc,0,Read and comment on his post on Linkedin,,,Krishna Chaitanya,,,
10,3 - Business Developement,05-07-2020,Vizag Profiles + Action Ispat - Get some updates from Alok Prusty,Canara bank,Fund Raise - Action Ispat and Power Private Limited and Vizag Profiles,0,,,,,,,
11,6 - Inv Banking,05-07-2020,Check on updates on the transaction,Canara bank,Advisory - IL&FS IDF,0,,,,,,,
12,8 - Research,05-07-2020,Make a list of 100 contacts to contact in July and 100 direct contacts in PE,Canara bank,AA_Others/Prelim reseach,0,,,,,,,
13,8 - Research,05-07-2020,Make a list of 100 contacts to contact in July and 100 direct contacts in PE,Gazpron bank,Drill Mec fund raising,0,,,,,,,
